,fitness,weeks,density,RMSE_drive_A,RMSE_drive_B,RMSE_female_A,RMSE_female_B,combined_weight
644,1.05,8,7.5,0.634768692976434,0.634503425953064,208.372701928611,210.062809651401,4.70773894909063
645,1.05,8,8,0.648468394065267,0.647861422534245,214.70565499429,215.754681520734,4.82496826771739
646,1.05,8,8.5,0.642491282447726,0.642141997037916,227.287668447336,227.315870366111,4.9342487304819
647,1.05,8,9,0.631655082551773,0.631273229449574,242.405908904676,243.511952974165,5.06374794043091
648,1.05,8,9.5,0.617983376449934,0.6177971793061,235.073674954548,233.692830988674,4.91806174832886
649,1.05,8,10,0.629409971344402,0.629212736032055,248.900870345505,249.583754441283,5.12404534082219
650,1.1,4,6,0.719204801765298,0.718186932211833,216.429373875833,199.888439997078,5.01549587902345
651,1.1,4,6.5,0.711690341061749,0.710261514128902,223.698146404629,206.399143367788,5.06110771656645
652,1.1,4,7,0.707718923741511,0.706514524421682,230.687718675093,215.762406607375,5.13582398707644
653,1.1,4,7.5,0.70429924149979,0.70331457779561,232.356387536168,222.159541469716,5.16766156413835
654,1.1,4,8,0.701149112977047,0.700121544510143,243.763629934546,230.030856789831,5.26037377466883
655,1.1,4,8.5,0.683996412392659,0.682878972953935,256.517612014982,247.738785595656,5.36137072412921
656,1.1,4,9,0.700374200110496,0.69940350681858,249.432946443593,239.40392624033,5.33996587728444
657,1.1,4,9.5,0.703452413485373,0.702418642820555,257.875527856726,243.764031814298,5.42104693868791
658,1.1,4,10,0.663581468891736,0.662958076357538,291.912431987851,285.129533731019,5.68164144204998
